pregunta,respuesta
Hola,"¡Hola! Bienvenido a CHAD GPT. ¿Cuál es tu consulta?"
Chau,"¡Adiós! Espero haberte ayudado. ¡Nos vemos la próxima!"
Adiós,"¡Adiós! Espero haberte ayudado. ¡Nos vemos la próxima!"
Gracias,"Denada! Espero haberte ayudado."
"¿Qué es Python?","Es un lenguaje de programación versátil usado para desarrollo web, análisis de datos, automatización, inteligencia artificial, etc."
"¿Dónde escribo código Python?","Podés usar un editor como VS Code o un entorno como Thonny, PyCharm o Jupyter Notebook."
"¿Cómo empiezo a aprender Python desde cero?","Instalando Python, practicando en un editor y siguiendo tutoriales básicos."
"¿Cuál es la diferencia entre print y return?","print muestra un resultado en pantalla; return devuelve un valor desde una función."
"¿Qué significa 'indentation error'?","Es un error de indentación (espacios) que rompe la estructura del código."
"¿Qué hace el operador == en Python?","Compara si dos valores son iguales."
"¿Cómo hacer comentarios en varias líneas?","Usando tres comillas: ''' comentario ''' o \"\"\" comentario \"\"\""
"¿Qué es una función en Python y cómo se usa?","Un bloque de código que se ejecuta cuando se llama: def saludar(): print('Hola')"
"¿Qué significa None en Python?","Un valor especial que indica ausencia de valor o 'nada'."
"¿Por qué mi input() no devuelve un número?","Porque siempre devuelve una cadena; tenés que convertirlo con int() o float()."
"¿Qué es una lista en Python?","Una colección ordenada y modificable: [1, 2, 3]"
"¿Cómo hacer que un bucle se repita X veces?","Usando for i in range(x):"
"¿Qué significa IndexError en Python?","Ocurre cuando intentás acceder a un índice que no existe en una lista."
"¿Qué es un error de tipo (TypeError)?","Un error por usar tipos de datos incompatibles (ej. sumar string y número)."
"¿Cómo concateno texto con variables?","Usando f-strings: f\"Hola {nombre}\""
"¿Para qué sirve el operador +=?","Suma y asigna en una sola línea: x += 1 es igual a x = x + 1."
"¿Cómo convierto una lista en string?","Usando ', '.join(lista)"
"¿Qué es un bucle infinito y cómo evitarlo?","Es un ciclo que nunca termina; usá condiciones que cambien y break si es necesario."
"¿Cómo puedo ver errores en mi código?","Leyendo el traceback que imprime Python cuando algo falla."
"¿Cómo se limpia la consola en Python?","No hay una función nativa, pero podés usar os.system('cls' o 'clear') según el sistema operativo."
"¿Qué es una variable global?","Una variable que se define fuera de funciones y puede usarse en todo el programa."
"¿Cómo hacer una calculadora básica en Python?","Pidiendo números con input() y operando con +, -, *, /."
"¿Qué es una condición if-else y cómo funciona?","Permite tomar decisiones: if x > 0: print('positivo') else: print('negativo')"
"¿Puedo usar emojis en Python?","Sí, usando su código unicode o directamente si tu editor lo permite: print('😊')"
"¿Cómo genero un número aleatorio?","import random; random.randint(1, 10)"
"¿Para qué sirve la función str()?","Convierte valores a texto (string)."
"¿Qué es una cadena vacía?","Una cadena sin caracteres: \"\""
"¿Qué significa que Python sea de tipado dinámico?","No necesitás declarar tipos de variables; Python lo infiere."
"¿Cómo puedo salir de un programa manualmente?","Usando exit() o quit(), o ctrl+C en la terminal."
"¿Dónde puedo practicar ejercicios de Python?","En sitios como HackerRank, Exercism, Codewars o Replit."
"¿Qué versión de Python debería usar?","Se recomienda usar la última versión estable, como Python 3.x."
"¿Cuál es la diferencia entre Python 2 y Python 3?","Python 3 es la versión moderna con mejoras y soporte activo; Python 2 ya no se mantiene."
"¿Cómo puedo instalar paquetes en Python?","Usando pip: pip install nombre_del_paquete."
"¿Qué es pip?","Es el gestor de paquetes oficial de Python."
"¿Cómo creo un entorno virtual en Python?","Con python -m venv nombre_entorno."
